label,combo_id,seed,iter,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,temperature,topk,K,J_curr,J_best_true,SR_curr,MX_curr,wallclock_s
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,0,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-389.2,0.0,0.1966224424190905,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,1,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-245.2,0.0,0.330750701172063,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,2,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-922.8,-260.1333333333333,0.2,0.45066444569677916,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,3,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-529.4,-232.2,0.9333333333333333,0.49781853539962084,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,4,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-308.2,-224.26666666666668,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,5,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-265.06666666666666,-190.73333333333332,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,6,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-229.53333333333333,-173.06666666666666,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,7,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-215.26666666666668,-163.66666666666666,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,8,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-183.13333333333333,-176.26666666666668,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,9,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-181.06666666666666,-165.4,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,10,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-186.73333333333332,-163.4,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,11,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-165.0,-158.0,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,12,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-168.6,-159.46666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,13,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-186.66666666666666,-149.93333333333334,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,14,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-189.4,-145.33333333333334,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,15,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-168.6,-148.46666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,16,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-152.46666666666667,-145.13333333333333,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,17,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-149.73333333333332,-142.86666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,18,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-145.13333333333333,-144.13333333333333,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,19,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-160.2,-140.73333333333332,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,20,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-154.86666666666667,-144.2,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,21,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-147.46666666666667,-138.86666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,22,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-135.6,-138.2,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,23,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-161.33333333333334,-139.33333333333334,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,24,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-149.06666666666666,-122.93333333333334,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,25,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-149.33333333333334,-126.73333333333333,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,26,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-139.33333333333334,-117.26666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,27,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-143.93333333333334,-135.26666666666668,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,28,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-138.6,-126.4,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,29,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-134.46666666666667,-124.06666666666666,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,30,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-133.26666666666668,-125.8,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,31,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-136.2,-121.0,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,32,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-138.46666666666667,-115.4,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,33,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-130.26666666666668,-124.6,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,34,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-126.73333333333333,-118.66666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,35,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-129.66666666666666,-122.86666666666666,1.0,0.5,51.6
