seed,iter,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,temperature,topk,K,J_curr,J_best_true,SR_curr,MX_curr,wallclock_s
11,0,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4723192059944151,125.1
11,1,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46668920430094935,125.1
11,2,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4783035911054357,125.1
11,3,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46845990805837445,125.1
11,4,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46801382601009345,125.1
11,5,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-733.4,0.0,-0.47786755616093235,125.1
11,6,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-836.1333333333333,0.0,-0.4570357581405227,125.1
11,7,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-983.2,0.0,-0.4459628005695765,125.1
11,8,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-629.0,0.0,-0.4316754089377841,125.1
11,9,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-442.06666666666666,0.0,-0.40708005276967646,125.1
11,10,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-285.8666666666667,0.0,-0.3283787077582269,125.1
11,11,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-985.0666666666667,-350.46666666666664,0.13333333333333333,0.03500588669622488,125.1
11,12,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-657.4666666666667,-269.93333333333334,1.0,0.5,125.1
11,13,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-416.2,-276.2,1.0,0.5,125.1
11,14,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-360.2,-219.33333333333334,1.0,0.5,125.1
11,15,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-277.06666666666666,-215.46666666666667,1.0,0.5,125.1
11,16,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-287.73333333333335,-196.13333333333333,1.0,0.5,125.1
11,17,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-264.2,-207.06666666666666,1.0,0.5,125.1
11,18,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-278.73333333333335,-181.33333333333334,1.0,0.5,125.1
11,19,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-220.0,-173.53333333333333,1.0,0.5,125.1
11,20,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-211.4,-178.53333333333333,1.0,0.5,125.1
11,21,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-187.8,-165.53333333333333,1.0,0.5,125.1
11,22,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-171.73333333333332,-151.4,1.0,0.5,125.1
11,23,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-174.46666666666667,-146.06666666666666,1.0,0.5,125.1
