combo_id,seed,iter,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,temperature,topk,K,J_curr,J_best_true,SR_curr,MX_curr,wallclock_s
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,0,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.405418697157172,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,1,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.3966157500754009,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,2,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.4106489211606191,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,3,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.4011534462322503,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,4,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.3986128109043489,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,5,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.4073436210672795,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,6,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.40682349849716615,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,7,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.39906750486886344,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,8,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.3999268483901648,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,9,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.40075106270941707,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,10,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.3940241691467573,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,11,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.40341623454495257,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,12,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.40155660837219115,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,13,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.40490077444027855,
