combo_id,seed,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,J_final,first_iter_ge_-150,wallclock_s_total
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,30,0.1,0.1,"(3,)",15,100,-155.8,,256.7
"P=30|sigma=0.1|alpha=0.1|h=(3,)",202,30,0.1,0.1,"(3,)",15,100,-116.06666666666666,24,71.9
"P=30|sigma=0.1|alpha=0.1|h=(3,)",303,30,0.1,0.1,"(3,)",15,100,-114.53333333333333,24,77.4
"P=30|sigma=0.1|alpha=0.1|h=(4,)",101,30,0.1,0.1,"(4,)",15,100,-116.8,27,86.7
"P=30|sigma=0.1|alpha=0.1|h=(4,)",202,30,0.1,0.1,"(4,)",15,100,-126.4,44,123.8
"P=30|sigma=0.1|alpha=0.1|h=(4,)",303,30,0.1,0.1,"(4,)",15,100,-199.6,,113.2
"P=30|sigma=0.1|alpha=0.1|h=(3, 2)",101,30,0.1,0.1,"(3, 2)",15,100,-115.53333333333333,52,178.3
"P=30|sigma=0.1|alpha=0.1|h=(3, 2)",202,30,0.1,0.1,"(3, 2)",15,100,-158.33333333333334,,221.5
"P=30|sigma=0.1|alpha=0.1|h=(3, 2)",303,30,0.1,0.1,"(3, 2)",15,100,-1000.0,,312.6
"P=30|sigma=0.1|alpha=0.15|h=(3,)",101,30,0.1,0.15,"(3,)",15,100,-114.26666666666667,9,50.8
"P=30|sigma=0.1|alpha=0.15|h=(3,)",202,30,0.1,0.15,"(3,)",15,100,-190.46666666666667,,91.7
"P=30|sigma=0.1|alpha=0.15|h=(3,)",303,30,0.1,0.15,"(3,)",15,100,-114.4,15,59.4
"P=30|sigma=0.1|alpha=0.15|h=(4,)",101,30,0.1,0.15,"(4,)",15,100,-1000.0,,279.6
"P=30|sigma=0.1|alpha=0.15|h=(4,)",202,30,0.1,0.15,"(4,)",15,100,-1000.0,,285.5
"P=30|sigma=0.1|alpha=0.15|h=(4,)",303,30,0.1,0.15,"(4,)",15,100,-1000.0,,285.4
"P=30|sigma=0.1|alpha=0.15|h=(3, 2)",101,30,0.1,0.15,"(3, 2)",15,100,-1000.0,,305.8
"P=30|sigma=0.1|alpha=0.15|h=(3, 2)",202,30,0.1,0.15,"(3, 2)",15,100,-1000.0,,310.8
"P=30|sigma=0.1|alpha=0.15|h=(3, 2)",303,30,0.1,0.15,"(3, 2)",15,100,-1000.0,,302.7
"P=30|sigma=0.15|alpha=0.1|h=(3,)",101,30,0.15,0.1,"(3,)",15,100,-198.2,,142.1
"P=30|sigma=0.15|alpha=0.1|h=(3,)",202,30,0.15,0.1,"(3,)",15,100,-118.46666666666667,21,99.0
"P=30|sigma=0.15|alpha=0.1|h=(3,)",303,30,0.15,0.1,"(3,)",15,100,-111.0,24,103.6
"P=30|sigma=0.15|alpha=0.1|h=(4,)",101,30,0.15,0.1,"(4,)",15,100,-1000.0,,332.7
"P=30|sigma=0.15|alpha=0.1|h=(4,)",202,30,0.15,0.1,"(4,)",15,100,-122.73333333333333,25,113.1
"P=30|sigma=0.15|alpha=0.1|h=(4,)",303,30,0.15,0.1,"(4,)",15,100,-115.26666666666667,27,111.3
"P=30|sigma=0.15|alpha=0.1|h=(3, 2)",101,30,0.15,0.1,"(3, 2)",15,100,-116.0,40,154.4
"P=30|sigma=0.15|alpha=0.1|h=(3, 2)",202,30,0.15,0.1,"(3, 2)",15,100,-118.4,36,147.7
